ParlaMint-GB_2015-01-05-commons.u1	1. What progress her Department has made on implementing exit checks at borders.
ParlaMint-GB_2015-01-05-commons.u28	I wish you a happy new year, Mr Speaker Plymouth’s Charles Cross police station reputedly has England’s busiest custody suite. Does my right hon. Friend have any plans to locate a community mental health nurse at Charles Cross to help people with mental health and autistic challenges?
ParlaMint-GB_2015-01-05-commons.u29	As my hon. Friend will know, the provision of mental health nurses in police custody suites is a local issue, but I am pleased to tell him that from April 2015 NHS England will commission liaison and diversion services across Devon and Cornwall, including in Charles Cross police station, and that will provide people in police custody who may have mental health issues and autistic challenges with access to mental health nursing.
ParlaMint-GB_2015-01-05-commons.u30	It is clearly good news that the number of people detained overnight in police stations under the Mental Health Act has been reduced by 25% in the past year alone. Clearly, it is important that individuals who are ill need to be treated medically, rather than be detained in police stations. What further action can my right hon. Friend take to ensure that people who are ill receive the medical treatment they require?
ParlaMint-GB_2015-01-05-commons.u31	I am grateful to my hon. Friend for pointing out the success of the work already being done across the country, including in London, to reduce the number of people with mental health problems who are being held in a police cell as a place of safety. Police cells should only ever be used as a place of safety for somebody with mental health problems in exceptional circumstances. We are encouraging police forces across the country to look at the success of the triage schemes that have already been undertaken and take on board the very good practice which is having a beneficial effect for those with mental health problems and for police resources.
ParlaMint-GB_2015-01-05-commons.u32	May I urge the Home Secretary to make it absolutely clear that there is no place at all for children with mental illnesses being in our police cells? I believe she has confirmed that that is the case, but I would be grateful if she would do so again.
ParlaMint-GB_2015-01-05-commons.u33	My hon. Friend is absolutely right to say that a police cell should not be a place of safety for a child with mental health problems—we are very clear about that. That is one issue that has emerged from the review we have undertaken, with the Department of Health, of sections 135 and 136 of the Mental Health Act, and I am clear that in future we should not see children being held in a police cell as a place of safety when they have mental health problems.
ParlaMint-GB_2015-01-05-commons.u34	Some 1,600 acute beds in mental health facilities have been lost on this Government’s watch. What assessment has the Home Secretary made at local level about beds being available for people who actually need them? Does she really think it is acceptable that in some cases people are having to travel up to 200 miles to access a crisis bed? Is that not why people are ending up in police cells, rather than in mental health crisis beds where they should be?
ParlaMint-GB_2015-01-05-commons.u35	Under this Government we are seeing a significant change in the way in which people with mental health problems are being dealt with by both the police and the NHS: it is this Government who have reviewed sections 135 and 136 of the Mental Health Act; it is this Government who have introduced the street triage pilots, whereby more and more people are being taken to proper places of safety in health care settings rather than being put in police cells; and it is this Government who have put mental health clearly on the agenda in relation to health matters—unlike the Labour Government.
ParlaMint-GB_2015-01-05-commons.u36	Police officers locally tell me that because of the cuts they are being used far too frequently as the service of last resort because the other services are just not there to step into the breach. Distressed family members have come to me when they are worried about the behaviour of their relatives, who they fear might harm themselves or someone else, but they really do not want to go to the police. What is the Home Secretary doing to ensure that the police are absolutely used only as a last resort and that other agencies are there to step in?
ParlaMint-GB_2015-01-05-commons.u37	The situation in which the police were being used as a first resort rather than a last resort—particularly for those with mental health problems—carried on year after year under the previous Labour Government with no action being taken. This Government have introduced the street triage pilots, the liaison and diversion services, and the care crisis concordat, which has been signed up to by 20 national bodies and which is having a real impact out on the streets. We have more to do in this area and we will be doing more. The number of people with mental health problems taken to a police cell as a place of safety has fallen, and it has fallen as a result of the action that we have taken.
ParlaMint-GB_2015-01-05-commons.u38	I welcome the Home Secretary’s statement that, under sections 135 and 136 of the Mental Health Act, police cells should not be used for children. In our inquiry into policing and mental health, the Home Affairs Committee heard distressing evidence from families and guardians of young people with mental health problems taken into police cells. Will the Secretary of State consult those families and guardians on how policing of mental health for children can be improved as a matter of urgency?
ParlaMint-GB_2015-01-05-commons.u39	My hon. Friend is absolutely right and I am happy, as is my right hon. Friend the Minister responsible for policing, to ensure that we do more of what we are already doing, which is talking to people who have experienced this problem at first hand and therefore gaining more understanding of the issue. This matter has been addressed not only by the Home Affairs Committee but by the Health Committee, under the chairmanship of my hon. Friend the Member for Totnes (Dr Wollaston), which has produced a report making exactly that point about young people. It said that children should not be taken to police cells as a place of safety when they have mental health problems.
ParlaMint-GB_2015-01-05-commons.u40	4. What recent assessment she has made of the likelihood of the next migration target being met.
ParlaMint-GB_2015-01-05-commons.u41	Where we can control migration, our reforms have cut non-EU migration to levels close to those not seen since the 1990s. However, EU immigration has almost doubled to unprecedented levels in the past two years. Many EU migrants are coming to the UK to work because of this Government’s success in rebuilding the economy and creating jobs.
ParlaMint-GB_2015-01-05-commons.u42	Does the Home Secretary agree that when the Prime Minister said “no ifs, no buts” about getting net migration down to tens of thousands, he made a promise to the British people that he now appears to have broken?
ParlaMint-GB_2015-01-05-commons.u43	I have been very clear and said publicly that yes, we have been blown off course in respect of our net migration target. I have just indicated that in the figures I mentioned in relation to EU migration. The Prime Minister has set out a number of ways in which we intend to address that particular issue, but it is this Government who have been addressing issues across the immigration system that have led to non-EU immigration coming down to levels close to those of the 1990s.
ParlaMint-GB_2015-01-05-commons.u44	I strongly support the work that the Home Secretary has done with regard to controlling bogus student visa applications. That was a huge problem that she has got rid of. However, how would she answer my constituent Sir James Dyson, who said that if her latest remarks about automatically sending all students home on completion of their studies were taken literally, there would be dire consequences for businesses such as his which rely on engineers and scientists from overseas?
ParlaMint-GB_2015-01-05-commons.u45	We have been very clear in all the changes we have made to the immigration system that we welcome the brightest and the best to the United Kingdom. We have no limit on the number of people who are coming here genuinely to study in a proper educational establishment. I am pleased to say that visa applications from university students rose by 2% in the year ending September 2014, with an increase of 4% for the Russell Group universities. We also need to recognise that the latest survey showed that in one year 121,000 students came in from overseas and only 50,000 left. Figures suggest that in the 2020s, we will see 600,000 overseas students each year in this country.
ParlaMint-GB_2015-01-05-commons.u46	Entrepreneurs in Shoreditch to whom I speak greatly welcome migration. The Home Secretary’s colleague the Business Secretary came to an event organised by Tech City News to applaud the input of migrants in Shoreditch, so who is right: the Home Secretary or her colleague the Business Secretary?
ParlaMint-GB_2015-01-05-commons.u47	There is no difference between two members of a Cabinet in a Government who believe that the brightest and the best should be able to come to the United Kingdom to work. We listen to business, and when we changed the system for non-EU economic migration we made every effort to do it in a way that business applauded.
ParlaMint-GB_2015-01-05-commons.u48	Immigration from the EU is the No. 1 issue in my constituency and across north Northamptonshire. The Prime Minister is the only party leader who will make any attempt to reduce immigration from the EU, and he has given a further guarantee that if he fails to do that the British people will have the chance to vote in a referendum by 2017 to get out of the EU. I am looking forward to that referendum; is the Home Secretary, and might she be voting to come out?
ParlaMint-GB_2015-01-05-commons.u49	rose—
ParlaMint-GB_2015-01-05-commons.u50	Order. The question relates purely to the likelihood of the next migration target being met, so this is not an occasion for a general dilation on the EU. I am sure that the hon. Gentleman was not hoping for any such thing.
ParlaMint-GB_2015-01-05-commons.u51	My hon. Friend was attempting to tempt me, Mr Speaker, but I am grateful for your guidance in this matter. My hon. Friend is absolutely right that the Prime Minister is the only party leader who has set out an intention to deal with free movement in the European Union and to do it in a way that enables us to do what everybody wants and to have the degree of control over our borders that we wish to have.
ParlaMint-GB_2015-01-05-commons.u52	Will not the Home Secretary just concede that her immigration cap did not work and could never work, because we live in an interconnected, globalised world of which the free movement of people is a key feature? Will she agree that any future attempt at a UKIP-inspired immigration cap will be as disastrous as the last UKIP-inspired immigration cap?
ParlaMint-GB_2015-01-05-commons.u53	I said in my original answer that we have been blown off course from the net migration target. The hon. Gentleman says that it is impossible to bring about changes in net migration, but I remind him that migration from outside the European Union has come down to levels close to those of the 1990s.
ParlaMint-GB_2015-01-05-commons.u54	It is clearly progress that net migration from non-EU countries is now at levels not seen since the 1990s. Will my right hon. Friend update the House on what action the Home Office is taking to ensure that those who have no right to be within the jurisdiction are removed from the country, such as foreign prisoners when they have completed their sentence of imprisonment and those who have been found by an immigration appeals tribunal to have no right to asylum here? What action is being taken to ensure that those people leave the country when they are told that they have no right to be in the country?
ParlaMint-GB_2015-01-05-commons.u55	My right hon. Friend is right to raise the issue of dealing with those who have no right to be here. We are addressing it in a number of ways. For example, we are working hard with a number of other countries to ensure that they are willing to take back their foreign national offenders; we have ensured that there are fewer appeal routes for people who no longer have a right to be in the United Kingdom; some foreign national offenders have a right of appeal outside the country rather than inside the country; and we have undertaken a pilot with university students in the south-west to remind them when their visa comes to an end so that they leave the country. The issue is being addressed in a number of ways.
ParlaMint-GB_2015-01-05-commons.u56	5. When she next plans to meet the independent chief inspector of borders and immigration.
ParlaMint-GB_2015-01-05-commons.u57	I take this opportunity to thank John Vine, who left his post as the independent chief inspector of borders and immigration at the end of December. His work has been invaluable in assisting Ministers and improving the operation of the immigration system, and I shall meet his successor once appointed.
ParlaMint-GB_2015-01-05-commons.u58	Recent National Audit Office figures have shown that the Government’s border management and immigration policies have not stopped 10,649 foreign national offenders sitting in British prisons. One of the Home Secretary’s predecessors lost his job over this issue. A year on from the Department’s latest plan of action on this matter, there is still no real impact on the figures. When will the Home Secretary and a new chief inspector get a grip and deal with the problem properly?
ParlaMint-GB_2015-01-05-commons.u59	As the Home Secretary has already said, we have got a grip on the issue. We are taking further steps through the operation of the Immigration Act 2014 to ensure that if there are appeals, they are heard outside this country’s jurisdiction, and that article 8—the right to family life—does not trump the ability to remove someone from the UK. It is that work and work across Government that are making sure that we are able to remove foreign national offenders from the UK.
ParlaMint-GB_2015-01-05-commons.u60	I join the Minister in paying tribute to John Vine for his work as chief inspector of borders and immigration The chief inspector’s latest report on British citizenship applications shows that, on the Minister’s watch, scant regard was given by the Department to checks on criminal behaviour, fraud or immigration status. Since that report’s publication, what steps has the Minister taken to check histories and remove citizenship, if appropriate? Will he instigate proper investigation and record keeping? If he will not, a future Labour Government will.
ParlaMint-GB_2015-01-05-commons.u61	Contrary to what the right hon. Gentleman just stated, the chief inspector was clear that criminal record checks had been carried out in all cases that were examined. We have reminded caseworkers of the need to ensure that the appropriate guidance is adhered to, but I would say to the right hon. Gentleman that the issues identified by the chief inspector arose in large measure from decisions of the last Labour Government to grant leave to people without going through the full requirements. We are still clearing up the mess that they put us in and we are focused on turning the ship around.
ParlaMint-GB_2015-01-05-commons.u62	7. What assessment she has made of changes in the level of crime since May 2010.
ParlaMint-GB_2015-01-05-commons.u63	Police reform is working and crime is down by more than a fifth under this Government, according to the independent crime survey for England and Wales. England and Wales are safer than they have been for decades, with the survey showing crime at the lowest level since it began, in 1981.
ParlaMint-GB_2015-01-05-commons.u64	I thank the Minister for that answer. Will she join me in congratulating Thames Valley police? We saw a 30% drop in recorded crime between June 2010 and June 2014. What does that say about the extent to which Thames Valley police are keeping my constituents safe?
ParlaMint-GB_2015-01-05-commons.u65	I am happy to do as my hon. Friend suggests and congratulate Thames Valley police on all they have done in reducing crime by 30% in their area, but I also congratulate all police forces that are rising to the challenge of driving efficiency and cutting crime. Effective policing plays a key part in reducing crime, as does tackling the underlying drivers of crime, which this coalition is also doing.
ParlaMint-GB_2015-01-05-commons.u66	The Minister does not have much to say about card crime, which is up by a quarter, or online banking fraud, which is up by 71%. More and more people shop online, particularly over Christmas and the new year, but Her Majesty’s inspectorate of constabulary found that just 2% of police had any training in cybercrime. When will the Government stop being so complacent about crime that is still rising?
ParlaMint-GB_2015-01-05-commons.u67	I welcome the hon. Gentleman to his place. Up to now, cybercrime has been a lesser interest. The hon. Gentleman is absolutely right to say that the trend among all people now is to buy online, but I would say that what is illegal offline is also illegal online. Policing cyberspace is just as important as policing the streets, and that is what our police force is doing.
ParlaMint-GB_2015-01-05-commons.u68	The police in my constituency do an excellent job. Will the Minister join me in congratulating them on reducing crime by 13% and keeping us all safe in the great city of Brighton and Hove?
ParlaMint-GB_2015-01-05-commons.u69	I am more than happy to congratulate my hon. Friend’s local police on their efforts to reduce crime and their success in doing so. As I said, I congratulate all police forces across the country who are managing the reductions efficiently and cutting crime.
ParlaMint-GB_2015-01-05-commons.u70	Does the Minister agree with Sir Tom Winsor that policing shoplifting is not necessarily to be done?
ParlaMint-GB_2015-01-05-commons.u71	I might not have put it that way, but when one compares murder with shoplifting, that is one issue. The important point is that all crime should be tackled, regardless of what it is. Someone might start with shoplifting, but who knows where they will end up? Our objective is to cut all crime.
ParlaMint-GB_2015-01-05-commons.u72	9. What assistance her Department offers to people without five years’ residency applying for indefinite leave to remain, who have been delayed in entering the country on a spouse visa because they are waiting for a determination on a British passport application for a child born outside the UK due to delays in obtaining the initial spouse visa.
ParlaMint-GB_2015-01-05-commons.u73	In considering immigration applications, UK Visas and Immigration will not generally take into account the time taken to establish the British citizenship of a child of the applicant. That is because the child’s status will affect the immigration requirements on the applicant, such as the minimum income threshold to be met by foreign spouses, which should be dealt with before an application is made.
ParlaMint-GB_2015-01-05-commons.u74	Is the Minister aware of the impact on family life of these long delays? Such are the delays that by the time the spouse’s visa is granted, there may be one or two children, and then the mother will often have to make a decision about whether to stay abroad and be delayed there by starting the probationary period or to come to this country and leave the children abroad.
ParlaMint-GB_2015-01-05-commons.u75	I am obviously happy to look at any individual cases that my hon. Friend may wish to highlight and I can examine further. A British passport is not issued to a child born overseas until the Passport Office is satisfied that all the relevant identity, nationality and child protection issues have been identified. I am sure that my hon. Friend would support that.
ParlaMint-GB_2015-01-05-commons.u76	10. How many Syrian refugees have been resettled in the UK under the Government’s vulnerable persons relocation scheme to date.
ParlaMint-GB_2015-01-05-commons.u77	We remain on track to relocate several hundred people under the vulnerable persons relocation scheme over the next three years. Between the first group of arrivals on 25 March and the end of September, 90 people were relocated to the UK under the scheme. In addition, over 3,400 Syrians and their dependants have been granted asylum or other forms of leave to remain since the start of the crisis.
ParlaMint-GB_2015-01-05-commons.u78	The Minister will no doubt be aware that 2015 has already seen two worrying trends for Syrians fleeing the violence of war: first, an increase in restrictions imposed on those seeking to settle in neighbouring countries such as Lebanon; and secondly, even more refugees boarding boats and taking risky journeys in the Mediterranean. Does he recognise that our unwillingness to offer anything more than tokenistic safe legal routes for resettlement and family reunification of refugees exacerbates both those trends? We have no moral standing when arguing with neighbouring countries that they should keep their borders open, and desperate people will take any route to try to improve their lives when facing violence such as Syria’s.
ParlaMint-GB_2015-01-05-commons.u79	This Government have taken important steps by providing aid that is benefiting hundreds of thousands of people in the region, and focusing on some of the most vulnerable cases that the vulnerable persons relocation scheme is designed to address. On borders, we are supporting the United Nations High Commissioner for Refugees, and we are in dialogue with Syria’s neighbours, recognising the importance of effective management and also the fact that international law is clear that refugees should not be turned back in these circumstances.
ParlaMint-GB_2015-01-05-commons.u80	Italian Ministers told the European Scrutiny Committee that increasingly people coming on boats and being rescued from them are refugees from areas such as Syria, not just economic migrants. When will the Government sign up to the UN programme so that we do our fair share, like other countries?
ParlaMint-GB_2015-01-05-commons.u81	This country is doing its fair share in many different ways through the direct aid that is being provided—£700 million that is directly affecting and benefiting the lives of hundreds of thousands of people—and the asylum that is being granted through the vulnerable persons relocation scheme. We are also working overseas with countries affected to create a long-term settlement of this issue, as well as confronting the organised crime that exploits the vulnerable.
ParlaMint-GB_2015-01-05-commons.u82	The UK does indeed have a very proud tradition of offering refuge to those in desperate need. The Government’s relocation programme for Syrian refugees was supposed to help orphan children, sexually abused women, victims of torture, and those needing specialist medical treatment. Other European countries are providing this support, with 310 people going to Ireland, 1,000 people going to Norway, and 1,200 people going to Sweden. As the Minister said, in the UK last year only 90 people were accepted. How many victims—specifically, how many orphan children and sexually abused women—will the UK be offering support to this year?
ParlaMint-GB_2015-01-05-commons.u83	We remain on track to support several hundred vulnerable individuals over the next three years. The figures underline that. Those who benefit from the scheme are chosen by the United Nations High Commissioner for Refugees, with whom we work in close co-operation. It is therefore the UNHCR that advances and puts forward individual cases based on the vulnerability-type factors that the hon. Lady identified.
ParlaMint-GB_2015-01-05-commons.u84	11. What recent discussions she has had with the French authorities on border security at Calais.
ParlaMint-GB_2015-01-05-commons.u85	It is in the interests of both the UK and France to work together to tackle migratory pressures at Calais. The Home Secretary last met the French Interior Minister on 5 December. We continue to work closely with the French authorities on all matters of border security and cross-border criminality to maintain the integrity of our joint border controls.
ParlaMint-GB_2015-01-05-commons.u86	Can my hon. Friend confirm that the £12 million in the agreement will be spent on bolstering security and not on a welcome centre at Calais? Will he also reject representations from UKIP that the border controls at Calais should be scrapped and brought back to Dover?
ParlaMint-GB_2015-01-05-commons.u87	I am very pleased to underline the points that my hon. Friend makes. We are not providing financial support for any day centres. Our financial support is focused on security at Calais and on confronting the organised criminality that seeks to take advantage of those trying to come to the UK. The juxtaposed controls absolutely benefit this country and we have no plans to change that.
ParlaMint-GB_2015-01-05-commons.u88	The hon. Member for East Worthing and Shoreham (Tim Loughton) and I saw for ourselves the security measures that have been introduced with the help of the Government, though part of the fence that we saw blew down over the Christmas holidays because of high winds. As the hon. Member for Dover (Charlie Elphicke) said, the area is now a magnet for those who wish to come to our country. Does the Minister agree that the problems in Calais are best addressed at the external frontiers of the EU? That means Frontex doing much more to ensure that the Mediterranean is policed properly but humanely, so that there is no repetition of what happened to the Ezadeen ship as it arrived in the EU very recently.
ParlaMint-GB_2015-01-05-commons.u89	I agree that the problems lie beyond the UK’s shores. That is why, for example, we have taken part in the Khartoum process, which is an EU-African Union mechanism to focus on human trafficking. With reference to the EU border, Frontex has in place Operation Triton. As we are not within the Schengen zone, we do not participate directly, but are providing assistance. This is a matter that we continue to discuss with other EU Ministers.
ParlaMint-GB_2015-01-05-commons.u90	The Chairman of the Home Affairs Committee is quite right about our trip to Calais, where we found that in the past year more than 10,000 potential migrants had been apprehended by the good work of the border police and by the investment of no less than £150 million by Eurotunnel on fencing over the past 10 years. Is not the real problem that when potential migrants are apprehended, the French police take them 2 miles outside town and release them without even taking their fingerprints, so they can come and do it all over again?
ParlaMint-GB_2015-01-05-commons.u91	I agree with my hon. Friend on some of the incredibly good work being undertaken at the northern French ports, particularly the work of Border Force, and the investment that has been provided there. We are investing further in security at Calais. We continue to have discussions with the French authorities on how we can strengthen the response, and those discussions will continue in the weeks ahead.
ParlaMint-GB_2015-01-05-commons.u92	Given these discussions, why have the French authorities set up a Sangatte 2 camp in Calais? What effect does the Minister think that will have on the situation?
ParlaMint-GB_2015-01-05-commons.u93	The French Government will clearly make their own determinations and responses on matters relating to what happens on French soil. Our focus is on security at the juxtaposed controls and on combating organised crime, on which we have good joint working with the French and other Governments. It is clear that we should not establish measures that may act as some sort of magnet and may make the problem worse.
ParlaMint-GB_2015-01-05-commons.u94	12. What plans her Department has to regionalise police forces in England and Wales.
ParlaMint-GB_2015-01-05-commons.u95	The Government have no plans to move away from the localism that local police forces give us. Localism is something for which the hon. Gentleman campaigned for many years.
ParlaMint-GB_2015-01-05-commons.u96	Does the Minister recognise that although there may be advantages to be gained by regionalisation, such as economies of scale, larger police forces could mean a greater distance between the public and the police and less local accountability?
ParlaMint-GB_2015-01-05-commons.u97	I am slightly confused, because the hon. Gentleman campaigned for the introduction of police and crime commissioners when he was a Conservative Member and sat on the Government Benches. Is he now saying that they should not be there? Perhaps it is just a UKIP policy: one day one thing, and the next day another. At the end of the day, local democracy means that local authorities can make decisions. If they want to amalgamate, they can submit a business plan to us. Manchester has done that, but it is the only one.
ParlaMint-GB_2015-01-05-commons.u98	Would not regionalising policing mean either the abolition of PCCs or a multiplication of several times over in the size of their constituencies? Does the Minister agree that either course would be a terrible slap in the face for those who campaigned so hard for so long for the system we now have?
ParlaMint-GB_2015-01-05-commons.u99	There are many present in the Chamber—including, perhaps, one Opposition Member—who have campaigned for localism over many years and who passionately believe in it. PCCs give that to the community and I cannot understand why anybody would change their mind about them.
ParlaMint-GB_2015-01-05-commons.u100	Proposals to merge Northamptonshire police with an east midlands police force, as advanced by the Labour party when it was in power, would have been disastrous for Northamptonshire. The present proposals from the police commissioner and the head of the local fire brigade to increasingly merge their operations make lot of sense on so many levels. Will my right hon. Friend encourage this?
ParlaMint-GB_2015-01-05-commons.u101	Not only will I encourage it, but I have seen it going on around the country. Taxpayers’ money needs to be spent efficiently and it must be done in a way that is right for the emergency services. I have seen that happen, and if it happens in my hon. Friend’s constituency then so be it, but it will be a local decision.
ParlaMint-GB_2015-01-05-commons.u102	15. What recent discussions she has had with the chief constable of Lincolnshire on the budget of the Lincolnshire police.
ParlaMint-GB_2015-01-05-commons.u103	The Home Secretary and I meet all the chief constables regularly and I personally met the chief constable of Lincolnshire very recently.
ParlaMint-GB_2015-01-05-commons.u104	With more than 8,000 front-line police officers out of 16,000 cut already, is not the Lincolnshire chief constable right to warn that the loss of a further 6,000 front-line officers, along with other cuts, will simply mean that police forces across the country will collapse? They will go and there will not be any need for PCCs because there will not be any forces.
ParlaMint-GB_2015-01-05-commons.u105	I am sure the residents and constituents of Stoke-on-Trent South will be interested to hear about the hon. Gentleman’s interest in Lincolnshire. At the end of the day, it is for Lincolnshire and its chief constable to decide what they want to do and we will support them in those decisions. They do not have to be about a reduction in police officers; actually, we have seen an increase in the number of police officers on the ground in Lincolnshire.
ParlaMint-GB_2015-01-05-commons.u106	I am surprised that my otherwise good friend the hon. Member for Stoke-on-Trent South (Robert Flello) is suddenly taking such an interest in the Lincolnshire constabulary. To put things in perspective, the reason our budgets have suffered for many years is the sparsity factor formula put in place by the previous Labour Government which transferred resources from rural authorities to places such as Stoke-on-Trent. Having said that, we have still managed to cut crime in Lincolnshire by 20% over five years.
ParlaMint-GB_2015-01-05-commons.u107	To be honest, I perfectly understand that any chief constable and PCC will campaign for extra money, but at the same time I cannot understand the sudden interest taken in Lincolnshire by the hon. Member for Stoke-on-Trent South (Robert Flello). When this Government came to power, 91% of police were on the front line; that figure is now 93%. My hon. Friend the Member for Gainsborough (Sir Edward Leigh) is absolutely right to say that there has been a 20% cut in crime in Lincolnshire.
ParlaMint-GB_2015-01-05-commons.u108	Like many other chief constables around the country, the chief constable of an efficient and effective police service in Lincolnshire has made it clear that the Government’s proposed cuts will see meaningful neighbourhood policing ceased; response times get longer; officer safety put at risk; the ability to investigate historical child sex exploitation cases limited; and public confidence in policing severely eroded. Is he right to say that and is it right for the Home Secretary to spend £50 million on next year’s PCC elections when what the public want is for that money to be invested in front-line policing?
ParlaMint-GB_2015-01-05-commons.u109	I do not recognise the figure of £50 million, but it is not unlike the Labour party to make up figures as it goes along. At the end of the day, Members either believe in localism or they do not, and running down the police of this country, as the Opposition do regularly, is not the answer. We need to support our police, make sure we can get the austerity through and make sure that more police are on the front line. That is what we are doing.
