,Character,movie_number,spacy_tokens,identified_names,character_counts
39,Boy,film 1,harry,Harry James Potter,4
40,Boy,film 1,harry,Helena Ravenclaw,2
41,Boy,film 1,harry,Nicholas de Mimsy-Porpington,2
42,Boy,film 1,harry,Rowena Ravenclaw,2
43,Boy,film 1,ravenclaw,Harry James Potter,2
44,Boy,film 1,ravenclaw,Helena Ravenclaw,1
45,Boy,film 1,ravenclaw,Nicholas de Mimsy-Porpington,1
46,Boy,film 1,ravenclaw,Rowena Ravenclaw,1
47,COLIN,film 2,colin,Colin Creevey,1
48,COLIN,film 2,colin,Dennis Creevey,1
49,COLIN,film 2,colin,Godric Gryffindor,1
50,COLIN,film 2,colin,Harry James Potter,2
51,COLIN,film 2,creevey,Colin Creevey,1
52,COLIN,film 2,creevey,Dennis Creevey,1
53,COLIN,film 2,creevey,Godric Gryffindor,1
54,COLIN,film 2,creevey,Harry James Potter,2
55,COLIN,film 2,gryffindor,Colin Creevey,1
56,COLIN,film 2,gryffindor,Dennis Creevey,1
57,COLIN,film 2,gryffindor,Godric Gryffindor,1
58,COLIN,film 2,gryffindor,Harry James Potter,2
59,COLIN,film 2,harry,Colin Creevey,2
60,COLIN,film 2,harry,Dennis Creevey,2
61,COLIN,film 2,harry,Godric Gryffindor,2
62,COLIN,film 2,harry,Harry James Potter,4
63,CRABBE,film 3,malfoy,Draco Malfoy,1
64,CRABBE,film 3,malfoy,Lucius Malfoy,1
65,CRABBE,film 3,malfoy,Narcissa Malfoy,1
66,CRABBE,film 3,malfoy,Scorpius Hyperion Malfoy,1
67,CROWD,film 3,gryffindor,Godric Gryffindor,1
68,Class,film 1,hooch,Neville Longbottom,1
69,Class,film 1,hooch,Rolanda Hooch,1
70,Class,film 1,neville,Neville Longbottom,1
71,Class,film 1,neville,Rolanda Hooch,1
72,Crowd  ,film 1,gryffindor,Godric Gryffindor,2
73,DIARY,film 2,harry,Albus Severus Potter,1
74,DIARY,film 2,harry,Harry James Potter,1
75,DIARY,film 2,harry,James Potter,1
76,DIARY,film 2,harry,James Sirius Potter,1
77,DIARY,film 2,harry,Lily J. Potter,1
78,DIARY,film 2,harry,Tom Marvolo Riddle,1
79,DIARY,film 2,potter,Albus Severus Potter,1
80,DIARY,film 2,potter,Harry James Potter,1
81,DIARY,film 2,potter,James Potter,1
82,DIARY,film 2,potter,James Sirius Potter,1
83,DIARY,film 2,potter,Lily J. Potter,1
84,DIARY,film 2,potter,Tom Marvolo Riddle,1
85,DIARY,film 2,riddle,Albus Severus Potter,1
86,DIARY,film 2,riddle,Harry James Potter,1
87,DIARY,film 2,riddle,James Potter,1
88,DIARY,film 2,riddle,James Sirius Potter,1
89,DIARY,film 2,riddle,Lily J. Potter,1
90,DIARY,film 2,riddle,Tom Marvolo Riddle,1
91,DIARY,film 2,tom,Albus Severus Potter,1
92,DIARY,film 2,tom,Harry James Potter,1
93,DIARY,film 2,tom,James Potter,1
94,DIARY,film 2,tom,James Sirius Potter,1
95,DIARY,film 2,tom,Lily J. Potter,1
96,DIARY,film 2,tom,Tom Marvolo Riddle,1
97,DOBBY,film 2,dobby,Albus Severus Potter,444
98,DOBBY,film 2,dobby,Dobby,1332
99,DOBBY,film 2,dobby,Harry James Potter,444
100,DOBBY,film 2,dobby,James Potter,444
101,DOBBY,film 2,dobby,James Sirius Potter,444
102,DOBBY,film 2,dobby,Lily J. Potter,444
103,DOBBY,film 2,dobby,Nicholas de Mimsy-Porpington,148
104,DOBBY,film 2,harry,Albus Severus Potter,144
105,DOBBY,film 2,harry,Dobby,432
106,DOBBY,film 2,harry,Harry James Potter,144
107,DOBBY,film 2,harry,James Potter,144
108,DOBBY,film 2,harry,James Sirius Potter,144
109,DOBBY,film 2,harry,Lily J. Potter,144
110,DOBBY,film 2,harry,Nicholas de Mimsy-Porpington,48
111,DOBBY,film 2,potter,Albus Severus Potter,132
112,DOBBY,film 2,potter,Dobby,396
113,DOBBY,film 2,potter,Harry James Potter,132
114,DOBBY,film 2,potter,James Potter,132
115,DOBBY,film 2,potter,James Sirius Potter,132
116,DOBBY,film 2,potter,Lily J. Potter,132
117,DOBBY,film 2,potter,Nicholas de Mimsy-Porpington,44
118,DOBBY ,film 2,dobby,Albus Severus Potter,15
119,DOBBY ,film 2,dobby,Dobby,9
120,DOBBY ,film 2,dobby,Harry James Potter,15
121,DOBBY ,film 2,dobby,James Potter,15
122,DOBBY ,film 2,dobby,James Sirius Potter,15
123,DOBBY ,film 2,dobby,Lily J. Potter,15
124,DOBBY ,film 2,harry,Albus Severus Potter,30
125,DOBBY ,film 2,harry,Dobby,18
126,DOBBY ,film 2,harry,Harry James Potter,30
127,DOBBY ,film 2,harry,James Potter,30
128,DOBBY ,film 2,harry,James Sirius Potter,30
129,DOBBY ,film 2,harry,Lily J. Potter,30
130,DOBBY ,film 2,potter,Albus Severus Potter,30
131,DOBBY ,film 2,potter,Dobby,18
132,DOBBY ,film 2,potter,Harry James Potter,30
133,DOBBY ,film 2,potter,James Potter,30
134,DOBBY ,film 2,potter,James Sirius Potter,30
135,DOBBY ,film 2,potter,Lily J. Potter,30
136,DRACO,film 2,crabbe,Aberforth Dumbledore,6
137,DRACO,film 2,crabbe,Albus Percival Wulfric Brian Dumbledore,6
138,DRACO,film 2,crabbe,Albus Severus Potter,14
139,DRACO,film 2,crabbe,Arthur Weasley,6
140,DRACO,film 2,crabbe,Bill William Arthur Weasley,6
141,DRACO,film 2,crabbe,Charles Weasley,6
142,DRACO,film 2,crabbe,Fat Friar,2
143,DRACO,film 2,crabbe,Fred Weasley,6
144,DRACO,film 2,crabbe,George Weasley,6
145,DRACO,film 2,crabbe,Ginevra Ginny Molly Weasley,6
146,DRACO,film 2,crabbe,Gregory Goyle,6
147,DRACO,film 2,crabbe,Harry James Potter,14
148,DRACO,film 2,crabbe,Hermione Jean Granger,4
149,DRACO,film 2,crabbe,James Potter,14
150,DRACO,film 2,crabbe,James Sirius Potter,14
151,DRACO,film 2,crabbe,Lily J. Potter,14
152,DRACO,film 2,crabbe,Molly Weasley,6
153,DRACO,film 2,crabbe,Percy Ignatius Weasley,6
154,DRACO,film 2,crabbe,Ronald Bilius Weasley,6
155,DRACO,film 2,crabbe,Salazar Slytherin,2
156,DRACO,film 2,crabbe,Vincent Crabbe,4
157,DRACO,film 2,dumbledore,Aberforth Dumbledore,9
158,DRACO,film 2,dumbledore,Albus Percival Wulfric Brian Dumbledore,9
159,DRACO,film 2,dumbledore,Albus Severus Potter,21
160,DRACO,film 2,dumbledore,Arthur Weasley,9
161,DRACO,film 2,dumbledore,Bill William Arthur Weasley,9
162,DRACO,film 2,dumbledore,Charles Weasley,9
163,DRACO,film 2,dumbledore,Fat Friar,3
164,DRACO,film 2,dumbledore,Fred Weasley,9
165,DRACO,film 2,dumbledore,George Weasley,9
166,DRACO,film 2,dumbledore,Ginevra Ginny Molly Weasley,9
167,DRACO,film 2,dumbledore,Gregory Goyle,9
168,DRACO,film 2,dumbledore,Harry James Potter,21
169,DRACO,film 2,dumbledore,Hermione Jean Granger,6
170,DRACO,film 2,dumbledore,James Potter,21
171,DRACO,film 2,dumbledore,James Sirius Potter,21
172,DRACO,film 2,dumbledore,Lily J. Potter,21
173,DRACO,film 2,dumbledore,Molly Weasley,9
174,DRACO,film 2,dumbledore,Percy Ignatius Weasley,9
175,DRACO,film 2,dumbledore,Ronald Bilius Weasley,9
176,DRACO,film 2,dumbledore,Salazar Slytherin,3
177,DRACO,film 2,dumbledore,Vincent Crabbe,6
178,DRACO,film 2,goyle,Aberforth Dumbledore,9
179,DRACO,film 2,goyle,Albus Percival Wulfric Brian Dumbledore,9
180,DRACO,film 2,goyle,Albus Severus Potter,21
181,DRACO,film 2,goyle,Arthur Weasley,9
182,DRACO,film 2,goyle,Bill William Arthur Weasley,9
183,DRACO,film 2,goyle,Charles Weasley,9
184,DRACO,film 2,goyle,Fat Friar,3
185,DRACO,film 2,goyle,Fred Weasley,9
186,DRACO,film 2,goyle,George Weasley,9
187,DRACO,film 2,goyle,Ginevra Ginny Molly Weasley,9
188,DRACO,film 2,goyle,Gregory Goyle,9
189,DRACO,film 2,goyle,Harry James Potter,21
190,DRACO,film 2,goyle,Hermione Jean Granger,6
191,DRACO,film 2,goyle,James Potter,21
192,DRACO,film 2,goyle,James Sirius Potter,21
193,DRACO,film 2,goyle,Lily J. Potter,21
194,DRACO,film 2,goyle,Molly Weasley,9
195,DRACO,film 2,goyle,Percy Ignatius Weasley,9
196,DRACO,film 2,goyle,Ronald Bilius Weasley,9
197,DRACO,film 2,goyle,Salazar Slytherin,3
198,DRACO,film 2,goyle,Vincent Crabbe,6
199,DRACO,film 2,granger,Aberforth Dumbledore,6
200,DRACO,film 2,granger,Albus Percival Wulfric Brian Dumbledore,6
201,DRACO,film 2,granger,Albus Severus Potter,14
202,DRACO,film 2,granger,Arthur Weasley,6
203,DRACO,film 2,granger,Bill William Arthur Weasley,6
204,DRACO,film 2,granger,Charles Weasley,6
205,DRACO,film 2,granger,Fat Friar,2
206,DRACO,film 2,granger,Fred Weasley,6
207,DRACO,film 2,granger,George Weasley,6
208,DRACO,film 2,granger,Ginevra Ginny Molly Weasley,6
209,DRACO,film 2,granger,Gregory Goyle,6
210,DRACO,film 2,granger,Harry James Potter,14
211,DRACO,film 2,granger,Hermione Jean Granger,4
212,DRACO,film 2,granger,James Potter,14
213,DRACO,film 2,granger,James Sirius Potter,14
214,DRACO,film 2,granger,Lily J. Potter,14
215,DRACO,film 2,granger,Molly Weasley,6
216,DRACO,film 2,granger,Percy Ignatius Weasley,6
217,DRACO,film 2,granger,Ronald Bilius Weasley,6
218,DRACO,film 2,granger,Salazar Slytherin,2
219,DRACO,film 2,granger,Vincent Crabbe,4
220,DRACO,film 2,harry,Aberforth Dumbledore,3
221,DRACO,film 2,harry,Albus Percival Wulfric Brian Dumbledore,3
222,DRACO,film 2,harry,Albus Severus Potter,7
223,DRACO,film 2,harry,Arthur Weasley,3
224,DRACO,film 2,harry,Bill William Arthur Weasley,3
225,DRACO,film 2,harry,Charles Weasley,3
226,DRACO,film 2,harry,Fat Friar,1
227,DRACO,film 2,harry,Fred Weasley,3
228,DRACO,film 2,harry,George Weasley,3
229,DRACO,film 2,harry,Ginevra Ginny Molly Weasley,3
230,DRACO,film 2,harry,Gregory Goyle,3
231,DRACO,film 2,harry,Harry James Potter,7
232,DRACO,film 2,harry,Hermione Jean Granger,2
233,DRACO,film 2,harry,James Potter,7
234,DRACO,film 2,harry,James Sirius Potter,7
235,DRACO,film 2,harry,Lily J. Potter,7
236,DRACO,film 2,harry,Molly Weasley,3
237,DRACO,film 2,harry,Percy Ignatius Weasley,3
238,DRACO,film 2,harry,Ronald Bilius Weasley,3
239,DRACO,film 2,harry,Salazar Slytherin,1
240,DRACO,film 2,harry,Vincent Crabbe,2
241,DRACO,film 2,hermione,Aberforth Dumbledore,3
242,DRACO,film 2,hermione,Albus Percival Wulfric Brian Dumbledore,3
243,DRACO,film 2,hermione,Albus Severus Potter,7
244,DRACO,film 2,hermione,Arthur Weasley,3
245,DRACO,film 2,hermione,Bill William Arthur Weasley,3
246,DRACO,film 2,hermione,Charles Weasley,3
247,DRACO,film 2,hermione,Fat Friar,1
248,DRACO,film 2,hermione,Fred Weasley,3
249,DRACO,film 2,hermione,George Weasley,3
250,DRACO,film 2,hermione,Ginevra Ginny Molly Weasley,3
251,DRACO,film 2,hermione,Gregory Goyle,3
252,DRACO,film 2,hermione,Harry James Potter,7
253,DRACO,film 2,hermione,Hermione Jean Granger,2
254,DRACO,film 2,hermione,James Potter,7
255,DRACO,film 2,hermione,James Sirius Potter,7
256,DRACO,film 2,hermione,Lily J. Potter,7
257,DRACO,film 2,hermione,Molly Weasley,3
258,DRACO,film 2,hermione,Percy Ignatius Weasley,3
259,DRACO,film 2,hermione,Ronald Bilius Weasley,3
260,DRACO,film 2,hermione,Salazar Slytherin,1
261,DRACO,film 2,hermione,Vincent Crabbe,2
262,DRACO,film 2,potter,Aberforth Dumbledore,21
263,DRACO,film 2,potter,Albus Percival Wulfric Brian Dumbledore,21
264,DRACO,film 2,potter,Albus Severus Potter,49
265,DRACO,film 2,potter,Arthur Weasley,21
266,DRACO,film 2,potter,Bill William Arthur Weasley,21
267,DRACO,film 2,potter,Charles Weasley,21
268,DRACO,film 2,potter,Fat Friar,7
269,DRACO,film 2,potter,Fred Weasley,21
270,DRACO,film 2,potter,George Weasley,21
271,DRACO,film 2,potter,Ginevra Ginny Molly Weasley,21
272,DRACO,film 2,potter,Gregory Goyle,21
273,DRACO,film 2,potter,Harry James Potter,49
274,DRACO,film 2,potter,Hermione Jean Granger,14
275,DRACO,film 2,potter,James Potter,49
276,DRACO,film 2,potter,James Sirius Potter,49
277,DRACO,film 2,potter,Lily J. Potter,49
278,DRACO,film 2,potter,Molly Weasley,21
279,DRACO,film 2,potter,Percy Ignatius Weasley,21
280,DRACO,film 2,potter,Ronald Bilius Weasley,21
281,DRACO,film 2,potter,Salazar Slytherin,7
282,DRACO,film 2,potter,Vincent Crabbe,14
283,DRACO,film 2,slytherin,Aberforth Dumbledore,3
284,DRACO,film 2,slytherin,Albus Percival Wulfric Brian Dumbledore,3
285,DRACO,film 2,slytherin,Albus Severus Potter,7
286,DRACO,film 2,slytherin,Arthur Weasley,3
287,DRACO,film 2,slytherin,Bill William Arthur Weasley,3
288,DRACO,film 2,slytherin,Charles Weasley,3
289,DRACO,film 2,slytherin,Fat Friar,1
290,DRACO,film 2,slytherin,Fred Weasley,3
291,DRACO,film 2,slytherin,George Weasley,3
292,DRACO,film 2,slytherin,Ginevra Ginny Molly Weasley,3
293,DRACO,film 2,slytherin,Gregory Goyle,3
294,DRACO,film 2,slytherin,Harry James Potter,7
295,DRACO,film 2,slytherin,Hermione Jean Granger,2
296,DRACO,film 2,slytherin,James Potter,7
297,DRACO,film 2,slytherin,James Sirius Potter,7
298,DRACO,film 2,slytherin,Lily J. Potter,7
299,DRACO,film 2,slytherin,Molly Weasley,3
300,DRACO,film 2,slytherin,Percy Ignatius Weasley,3
301,DRACO,film 2,slytherin,Ronald Bilius Weasley,3
302,DRACO,film 2,slytherin,Salazar Slytherin,1
303,DRACO,film 2,slytherin,Vincent Crabbe,2
304,DRACO,film 2,weasley,Aberforth Dumbledore,6
305,DRACO,film 2,weasley,Albus Percival Wulfric Brian Dumbledore,6
306,DRACO,film 2,weasley,Albus Severus Potter,14
307,DRACO,film 2,weasley,Arthur Weasley,6
308,DRACO,film 2,weasley,Bill William Arthur Weasley,6
309,DRACO,film 2,weasley,Charles Weasley,6
310,DRACO,film 2,weasley,Fat Friar,2
311,DRACO,film 2,weasley,Fred Weasley,6
312,DRACO,film 2,weasley,George Weasley,6
313,DRACO,film 2,weasley,Ginevra Ginny Molly Weasley,6
314,DRACO,film 2,weasley,Gregory Goyle,6
315,DRACO,film 2,weasley,Harry James Potter,14
316,DRACO,film 2,weasley,Hermione Jean Granger,4
317,DRACO,film 2,weasley,James Potter,14
318,DRACO,film 2,weasley,James Sirius Potter,14
319,DRACO,film 2,weasley,Lily J. Potter,14
320,DRACO,film 2,weasley,Molly Weasley,6
321,DRACO,film 2,weasley,Percy Ignatius Weasley,6
322,DRACO,film 2,weasley,Ronald Bilius Weasley,6
323,DRACO,film 2,weasley,Salazar Slytherin,2
324,DRACO,film 2,weasley,Vincent Crabbe,4
325,DRACO,film 3,bloody,Aberforth Dumbledore,1
326,DRACO,film 3,bloody,Albus Percival Wulfric Brian Dumbledore,1
327,DRACO,film 3,bloody,Albus Severus Potter,1
328,DRACO,film 3,bloody,Alice Longbottom,1
329,DRACO,film 3,bloody,Fat Friar,2
330,DRACO,film 3,bloody,Frank Longbottom,1
331,DRACO,film 3,bloody,Godric Gryffindor,1
332,DRACO,film 3,bloody,Harry James Potter,1
333,DRACO,film 3,bloody,James Potter,1
334,DRACO,film 3,bloody,James Sirius Potter,1
335,DRACO,film 3,bloody,Lily J. Potter,1
336,DRACO,film 3,bloody,Neville Longbottom,1
337,DRACO,film 3,bloody,Nicholas de Mimsy-Porpington,3
338,DRACO,film 3,bloody,Poppy Pomfrey,1
339,DRACO,film 3,dumbledore,Aberforth Dumbledore,1
340,DRACO,film 3,dumbledore,Albus Percival Wulfric Brian Dumbledore,1
341,DRACO,film 3,dumbledore,Albus Severus Potter,1
342,DRACO,film 3,dumbledore,Alice Longbottom,1
343,DRACO,film 3,dumbledore,Fat Friar,2
344,DRACO,film 3,dumbledore,Frank Longbottom,1
345,DRACO,film 3,dumbledore,Godric Gryffindor,1
346,DRACO,film 3,dumbledore,Harry James Potter,1
347,DRACO,film 3,dumbledore,James Potter,1
348,DRACO,film 3,dumbledore,James Sirius Potter,1
349,DRACO,film 3,dumbledore,Lily J. Potter,1
350,DRACO,film 3,dumbledore,Neville Longbottom,1
351,DRACO,film 3,dumbledore,Nicholas de Mimsy-Porpington,3
352,DRACO,film 3,dumbledore,Poppy Pomfrey,1
353,DRACO,film 3,longbottom,Aberforth Dumbledore,1
354,DRACO,film 3,longbottom,Albus Percival Wulfric Brian Dumbledore,1
355,DRACO,film 3,longbottom,Albus Severus Potter,1
356,DRACO,film 3,longbottom,Alice Longbottom,1
357,DRACO,film 3,longbottom,Fat Friar,2
358,DRACO,film 3,longbottom,Frank Longbottom,1
359,DRACO,film 3,longbottom,Godric Gryffindor,1
360,DRACO,film 3,longbottom,Harry James Potter,1
361,DRACO,film 3,longbottom,James Potter,1
362,DRACO,film 3,longbottom,James Sirius Potter,1
363,DRACO,film 3,longbottom,Lily J. Potter,1
364,DRACO,film 3,longbottom,Neville Longbottom,1
365,DRACO,film 3,longbottom,Nicholas de Mimsy-Porpington,3
366,DRACO,film 3,longbottom,Poppy Pomfrey,1
367,DRACO,film 3,pomfrey,Aberforth Dumbledore,1
368,DRACO,film 3,pomfrey,Albus Percival Wulfric Brian Dumbledore,1
369,DRACO,film 3,pomfrey,Albus Severus Potter,1
370,DRACO,film 3,pomfrey,Alice Longbottom,1
371,DRACO,film 3,pomfrey,Fat Friar,2
372,DRACO,film 3,pomfrey,Frank Longbottom,1
373,DRACO,film 3,pomfrey,Godric Gryffindor,1
374,DRACO,film 3,pomfrey,Harry James Potter,1
375,DRACO,film 3,pomfrey,James Potter,1
376,DRACO,film 3,pomfrey,James Sirius Potter,1
377,DRACO,film 3,pomfrey,Lily J. Potter,1
378,DRACO,film 3,pomfrey,Neville Longbottom,1
379,DRACO,film 3,pomfrey,Nicholas de Mimsy-Porpington,3
380,DRACO,film 3,pomfrey,Poppy Pomfrey,1
381,DRACO,film 3,potter,Aberforth Dumbledore,1
382,DRACO,film 3,potter,Albus Percival Wulfric Brian Dumbledore,1
383,DRACO,film 3,potter,Albus Severus Potter,1
384,DRACO,film 3,potter,Alice Longbottom,1
385,DRACO,film 3,potter,Fat Friar,2
386,DRACO,film 3,potter,Frank Longbottom,1
387,DRACO,film 3,potter,Godric Gryffindor,1
388,DRACO,film 3,potter,Harry James Potter,1
389,DRACO,film 3,potter,James Potter,1
390,DRACO,film 3,potter,James Sirius Potter,1
391,DRACO,film 3,potter,Lily J. Potter,1
392,DRACO,film 3,potter,Neville Longbottom,1
393,DRACO,film 3,potter,Nicholas de Mimsy-Porpington,3
394,DRACO,film 3,potter,Poppy Pomfrey,1
395,DUMBLEDORE,film 2,argus,Albus Severus Potter,8
396,DUMBLEDORE,film 2,argus,Argus Filch,16
397,DUMBLEDORE,film 2,argus,Arthur Weasley,8
398,DUMBLEDORE,film 2,argus,Bill William Arthur Weasley,8
399,DUMBLEDORE,film 2,argus,Charles Weasley,8
400,DUMBLEDORE,film 2,argus,Cornelius Oswald Fudge,4
401,DUMBLEDORE,film 2,argus,Fred Weasley,8
402,DUMBLEDORE,film 2,argus,George Weasley,8
403,DUMBLEDORE,film 2,argus,Ginevra Ginny Molly Weasley,8
404,DUMBLEDORE,film 2,argus,Godric Gryffindor,16
405,DUMBLEDORE,film 2,argus,Harry James Potter,40
406,DUMBLEDORE,film 2,argus,James Potter,4
407,DUMBLEDORE,film 2,argus,James Sirius Potter,4
408,DUMBLEDORE,film 2,argus,Lily J. Potter,4
409,DUMBLEDORE,film 2,argus,Lucius Malfoy,4
410,DUMBLEDORE,film 2,argus,Minerva McGonagall,8
411,DUMBLEDORE,film 2,argus,Molly Weasley,8
412,DUMBLEDORE,film 2,argus,Nicholas de Mimsy-Porpington,76
413,DUMBLEDORE,film 2,argus,Percy Ignatius Weasley,8
414,DUMBLEDORE,film 2,argus,Pomona Sprout,8
415,DUMBLEDORE,film 2,argus,Poppy Pomfrey,4
416,DUMBLEDORE,film 2,argus,Ronald Bilius Weasley,8
417,DUMBLEDORE,film 2,argus,Rubeus Hagrid,12
418,DUMBLEDORE,film 2,argus,Severus Snape,4
419,DUMBLEDORE,film 2,argus,Tom Marvolo Riddle,16
420,DUMBLEDORE,film 2,arthur,Albus Severus Potter,2
421,DUMBLEDORE,film 2,arthur,Argus Filch,4
422,DUMBLEDORE,film 2,arthur,Arthur Weasley,2
423,DUMBLEDORE,film 2,arthur,Bill William Arthur Weasley,2
424,DUMBLEDORE,film 2,arthur,Charles Weasley,2
425,DUMBLEDORE,film 2,arthur,Cornelius Oswald Fudge,1
426,DUMBLEDORE,film 2,arthur,Fred Weasley,2
427,DUMBLEDORE,film 2,arthur,George Weasley,2
428,DUMBLEDORE,film 2,arthur,Ginevra Ginny Molly Weasley,2
429,DUMBLEDORE,film 2,arthur,Godric Gryffindor,4
430,DUMBLEDORE,film 2,arthur,Harry James Potter,10
431,DUMBLEDORE,film 2,arthur,James Potter,1
432,DUMBLEDORE,film 2,arthur,James Sirius Potter,1
433,DUMBLEDORE,film 2,arthur,Lily J. Potter,1
434,DUMBLEDORE,film 2,arthur,Lucius Malfoy,1
435,DUMBLEDORE,film 2,arthur,Minerva McGonagall,2
436,DUMBLEDORE,film 2,arthur,Molly Weasley,2
437,DUMBLEDORE,film 2,arthur,Nicholas de Mimsy-Porpington,19
438,DUMBLEDORE,film 2,arthur,Percy Ignatius Weasley,2
439,DUMBLEDORE,film 2,arthur,Pomona Sprout,2
440,DUMBLEDORE,film 2,arthur,Poppy Pomfrey,1
441,DUMBLEDORE,film 2,arthur,Ronald Bilius Weasley,2
442,DUMBLEDORE,film 2,arthur,Rubeus Hagrid,3
443,DUMBLEDORE,film 2,arthur,Severus Snape,1
444,DUMBLEDORE,film 2,arthur,Tom Marvolo Riddle,4
445,DUMBLEDORE,film 2,cornelius,Albus Severus Potter,2
446,DUMBLEDORE,film 2,cornelius,Argus Filch,4
447,DUMBLEDORE,film 2,cornelius,Arthur Weasley,2
448,DUMBLEDORE,film 2,cornelius,Bill William Arthur Weasley,2
449,DUMBLEDORE,film 2,cornelius,Charles Weasley,2
450,DUMBLEDORE,film 2,cornelius,Cornelius Oswald Fudge,1
451,DUMBLEDORE,film 2,cornelius,Fred Weasley,2
452,DUMBLEDORE,film 2,cornelius,George Weasley,2
453,DUMBLEDORE,film 2,cornelius,Ginevra Ginny Molly Weasley,2
454,DUMBLEDORE,film 2,cornelius,Godric Gryffindor,4
455,DUMBLEDORE,film 2,cornelius,Harry James Potter,10
456,DUMBLEDORE,film 2,cornelius,James Potter,1
457,DUMBLEDORE,film 2,cornelius,James Sirius Potter,1
458,DUMBLEDORE,film 2,cornelius,Lily J. Potter,1
459,DUMBLEDORE,film 2,cornelius,Lucius Malfoy,1
460,DUMBLEDORE,film 2,cornelius,Minerva McGonagall,2
461,DUMBLEDORE,film 2,cornelius,Molly Weasley,2
462,DUMBLEDORE,film 2,cornelius,Nicholas de Mimsy-Porpington,19
463,DUMBLEDORE,film 2,cornelius,Percy Ignatius Weasley,2
464,DUMBLEDORE,film 2,cornelius,Pomona Sprout,2
465,DUMBLEDORE,film 2,cornelius,Poppy Pomfrey,1
466,DUMBLEDORE,film 2,cornelius,Ronald Bilius Weasley,2
467,DUMBLEDORE,film 2,cornelius,Rubeus Hagrid,3
468,DUMBLEDORE,film 2,cornelius,Severus Snape,1
469,DUMBLEDORE,film 2,cornelius,Tom Marvolo Riddle,4
470,DUMBLEDORE,film 2,gryffindor,Albus Severus Potter,8
471,DUMBLEDORE,film 2,gryffindor,Argus Filch,16
472,DUMBLEDORE,film 2,gryffindor,Arthur Weasley,8
473,DUMBLEDORE,film 2,gryffindor,Bill William Arthur Weasley,8
474,DUMBLEDORE,film 2,gryffindor,Charles Weasley,8
475,DUMBLEDORE,film 2,gryffindor,Cornelius Oswald Fudge,4
476,DUMBLEDORE,film 2,gryffindor,Fred Weasley,8
477,DUMBLEDORE,film 2,gryffindor,George Weasley,8
478,DUMBLEDORE,film 2,gryffindor,Ginevra Ginny Molly Weasley,8
479,DUMBLEDORE,film 2,gryffindor,Godric Gryffindor,16
480,DUMBLEDORE,film 2,gryffindor,Harry James Potter,40
481,DUMBLEDORE,film 2,gryffindor,James Potter,4
482,DUMBLEDORE,film 2,gryffindor,James Sirius Potter,4
483,DUMBLEDORE,film 2,gryffindor,Lily J. Potter,4
484,DUMBLEDORE,film 2,gryffindor,Lucius Malfoy,4
485,DUMBLEDORE,film 2,gryffindor,Minerva McGonagall,8
486,DUMBLEDORE,film 2,gryffindor,Molly Weasley,8
487,DUMBLEDORE,film 2,gryffindor,Nicholas de Mimsy-Porpington,76
488,DUMBLEDORE,film 2,gryffindor,Percy Ignatius Weasley,8
